"Address","Total Shares","Total Pool Percent","ZCL Amount","BTCP Amount"
"t1dKknaCFdbhXPCnCvsuJbj6vYXc3b55E8E","4562179.039331909","0.07%","19.630767913981547","42.52766013"
"t1ZZbYnXpasCYaMU8eyXdye4fN5dEDLTo3U","5596850.10625216","0.07%","19.550185848484055","42.35308893"
"t1d3xqkgjMb3qbkUxaFUXjBEQXgDVC4cD7z","6242009.973225157","0.07%","19.549099010790545","42.35073443"
"t1bJeBUkCgM6dK7VWJ47zSmGmjSXAA6xkA5","5115653.621026467","0.07%","19.52695701134134","42.30276649"
"t1RS4BWoEjsXg3bLiipj8v3SYVQepPFpDg3","5304647.334821286","0.07%","19.472825524305588","42.18549724"
"t1ZYciaa1X6tNy73GHRTAbCdYkMUzEsNda8","3910123.544852605","0.07%","19.32893793411107","41.87378235"
"t1Svxpoih4EuHdcRcWybyheRQ8vuK85xBAw","7299304.728982115","0.07%","19.25910360566528","41.72249481"
"t1fbmPerMezZrw13Zk5y29ni3FSotn72Ps9","4528236.029914091","0.07%","18.86706172706194","40.87318398"
"t1JNog6enxc1wtJzbJtG7khwHDcKVv7v9GD","4364330.682850873","0.07%","18.82745482426985","40.78738047"
"t1dEHcjQiFr4t3w5iu76Bpkcre299fntKt1","5804354.413384839","0.07%","18.795156522113754","40.71741014"
"t1J3xqbcBR4yhfh9T1Nrm3Hm2AzcZ4zT67t","5851447.806176177","0.07%","18.7803289423618","40.68528800"
"t1ankoiuHDC2BZDB7shUJpPvdivvRwGgoXv","6031172.563154302","0.06%","18.61447379205741","40.32598309"
"t1MCKtAqA8ZNCeGzpBEvUZqXMoccUydxo3L","5803494.2039069105","0.06%","18.405589189402168","39.87346012"
"t1b1coFi68Pq4Fghx1NpdpqisqyVDbyz95d","5697260.77487432","0.06%","18.169337688613734","39.36165011"
"t1gBH4bfrcwwCHTYwM5sUUUozTUPZVJgLjF","4650834.141984373","0.06%","18.04399646711699","39.09011366"
"t1ag2zu38roLiANafe9tmGFKuos1p2QgW28","3996875.781348661","0.06%","17.995816386030302","38.98573740"
"t1Q9T5prsK9gSqauxTQXNFSahcLsndC3mYF","3983108.600309144","0.06%","17.414441284357498","37.72625928"
"t1KigmSLuHBmW589odAuX78E9txp69QT25y","4203877.72597553","0.06%","17.398939189922807","37.69267589"
"t1eWjFYDKZvxCmXUTNVYc4QysamdG4VCsMt","4380729.6460712645","0.06%","17.29344285245991","37.46413096"
"t1Q5bTijYvXu2c5RaLCJrStHufpcvtaQsdL","4162076.8662528405","0.06%","17.12539896191357","37.10008441"
"t1Xms2eiWKiVwQyo8gfyn4XNTT8pMVYeisr","3892119.1141689094","0.06%","17.09953112089316","37.04404489"
"t1KLRfVqvjVj77dRuutPqyrXXxrioFiTTxg","5188753.3757398315","0.06%","17.08721487982168","37.01736326"
"t1QDJ9QDfmzWuqFeicBniM88BQca7r5mbaC","3936719.7709088973","0.06%","17.068888603432008","36.97766162"
"t1SEfnvXxvU6UKxsoc155pVPZF15rgXNpJp","3479888.228135675","0.06%","17.027322360672898","36.88761343"
"t1dZkoYHoL593k4HBuReyLfTZRFJJmdXmmV","3714675.600928621","0.06%","16.9990930670454","36.82645812"
"t1MBmYwLyoe1sCCHyPLsPhPEFvcw3XAb2bK","4433906.101835425","0.06%","16.96487473091178","36.75232827"
"t1J8ehyHmzdvsayg48nHZY1JUH9tsG72wwJ","4165426.9756854074","0.06%","16.93605458766396","36.68989295"
"t1RxXMDfh4VnPw7WTsRTUqADZjF8ps9qazQ","5209057.655172775","0.06%","16.8881563933019","36.58612737"
"t1L2Ww15vX3qqF95rjV1eSnMBiAgeBqiVjU","4024317.5556078246","0.06%","16.714473557533264","36.20986473"
"t1VtuNo24eb9pWzareT9ieEQiZ31LCqpUfQ","1271009.918064634","0.06%","16.68950080975081","36.15576432"
"t1ZkxnRFyJUVKjxtbpcY39t2Kz44VJ3XPXZ","4806221.187931491","0.06%","16.562252520733015","35.88009645"
"t1gg7C8FL7Jfoa1cfU3zYnnqVeFCxBr68fU","3445417.8489111816","0.06%","16.55532249377198","35.86508339"
"t1Qj13CjomzAFJESW6mrTPmoQjKxqXRjT6A","3966965.07608312","0.06%","16.449921372702946","35.63674474"
"t1KrcQp3jEQQgF54c5XxMBw9f56ch9z7Mi6","4794845.53351227","0.06%","16.252234309829905","35.20847987"
"t1aR9bgj3smYY85Tgngz6fLcmgcY4x95v6V","3783042.5695855236","0.06%","16.22236366634561","35.14376877"
"t1YsNLua7TY8YGNwDoJcDJB4FyM2MkqYUiy","4365286.281270157","0.06%","16.08005240728463","34.83546882"
"t1JY5bceEGQ4XMSVAkNy5bpTVrYuSES6Pv2","4409342.789259803","0.06%","16.03423061890529","34.73620151"
"t1Srm7NrKktFSXU3hzumXLm49UjBrgYiabJ","3794810.7389396294","0.06%","16.025334853685486","34.71692993"
